기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2021,4,A,골목상권,2110368,송천초등학교,129,6,2,NA,1,17,NA,2,1,2,NA,1,2,NA,NA,NA,NA,NA,1,32
2021,4,A,골목상권,2110369,성신여대운정그린캠퍼스,217,3,5,1,1,24,NA,NA,NA,1,4,NA,1,NA,1,NA,NA,NA,NA,34
2021,4,A,골목상권,2110370,도봉세무서,128,8,3,NA,2,16,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,28
2021,4,A,골목상권,2110371,삼양입구사거리,108,6,2,NA,2,12,NA,2,1,1,1,1,2,NA,NA,NA,NA,NA,1,23
2021,4,A,골목상권,2110372,강북중학교,90,2,4,NA,1,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
2021,4,A,골목상권,2110373,수유역 2번,192,4,6,NA,1,20,1,1,1,NA,2,NA,NA,NA,1,NA,NA,NA,1,43
2021,4,A,골목상권,2110374,송중초등학교,175,9,3,NA,3,16,3,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,60
2021,4,A,골목상권,2110375,서울북부고용노동지청,74,3,NA,NA,NA,7,1,1,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,36
2021,4,A,골목상권,2110376,수송초등학교,176,8,5,NA,1,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,59
2021,4,A,골목상권,2110377,미아사거리역 3번,172,3,2,NA,2,20,1,1,1,2,NA,1,2,NA,NA,NA,NA,NA,1,35
2021,4,A,골목상권,2110378,송중동주민센터,100,2,NA,NA,NA,8,3,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,41
2021,4,A,골목상권,2110379,KT&G 북부지사,59,3,NA,NA,NA,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
